"v","e","s","t"
10000,37496250,3,12702130979
10000,37496250,0,19472458964
10000,37496250,1,160560
10000,37496250,2,12730040793
10000,37496250,3,12730302263
10000,37496250,0,19658383920
10000,37496250,1,158786
10000,37496250,2,12668017507
10000,37496250,3,12668272578
10000,37496250,0,19461947213
10000,37496250,1,157299
10000,37496250,2,12607629077
10000,37496250,3,12607885166
10000,37496250,0,19409133753
10000,37496250,1,160540
10000,37496250,2,12605718165
10000,37496250,3,12605978991
10000,37496250,0,19506821012
10000,37496250,1,157316
10000,37496250,2,12614573921
10000,37496250,3,12614826995
10000,37496250,0,19508067921
10000,37496250,1,158103
10000,37496250,2,12938806837
10000,37496250,3,12939066187
10000,37496250,0,19410029483
10000,37496250,1,164444
10000,37496250,2,12649747620
10000,37496250,3,12650008894
10000,37496250,0,19484267437
10000,37496250,1,160114
10000,37496250,2,12529584203
10000,37496250,3,12529841080
10000,37496250,0,19400735211
10000,37496250,1,160451
10000,37496250,2,12572471370
10000,37496250,3,12572731542
10000,37496250,0,19458620675
10000,37496250,1,157632
10000,37496250,2,12745591731
10000,37496250,3,12745847290
10000,37496250,0,19432430534
10000,37496250,1,160621
10000,37496250,2,12596772344
10000,37496250,3,12597030231
10000,37496250,0,19437834318
10000,37496250,1,158642
10000,37496250,2,12734090697
10000,37496250,3,12734345592
10000,37496250,0,19509064301
10000,37496250,1,167725
10000,37496250,2,12788763424
10000,37496250,3,12789038105
10000,37496250,0,19434329686
10000,37496250,1,167036
10000,37496250,2,12701284841
10000,37496250,3,12701559170
10000,37496250,0,19480292318
10000,37496250,1,156096
10000,37496250,2,12642588500
10000,37496250,3,12642840077
10000,37496250,0,19458547149
10000,37496250,1,157221
10000,37496250,2,12666659416
10000,37496250,3,12666917173
10000,37496250,0,19423523730
10000,37496250,1,202410
10000,37496250,2,12535343945
10000,37496250,3,12535665128
10000,37496250,0,19424606893
10000,37496250,1,157998
10000,37496250,2,12693265780
10000,37496250,3,12693522357
10000,37496250,0,19482964962
10000,37496250,1,158606
10000,37496250,2,12759137086
10000,37496250,3,12759392108
10000,37496250,0,19436598665
10000,37496250,1,159068
10000,37496250,2,12678539220
10000,37496250,3,12678798210
10000,37496250,0,19437110431
10000,37496250,1,157778
10000,37496250,2,12650000257
10000,37496250,3,12650257247
10000,37496250,0,19476671554
10000,37496250,1,158463
10000,37496250,2,12646368895
10000,37496250,3,12646624978
10000,37496250,0,19444579186
10000,37496250,1,157494
10000,37496250,2,12681520506
10000,37496250,3,12681774527
10000,37496250,0,19439593130
10000,37496250,1,158880
10000,37496250,2,12619067067
10000,37496250,3,12619324770
10000,37496250,0,19450596205
10000,37496250,1,167112
10000,37496250,2,12559650691
10000,37496250,3,12559911696
10000,37496250,0,19472516225
10000,37496250,1,159014
10000,37496250,2,12761436462
10000,37496250,3,12761691092
10000,37496250,0,19680165754
10000,37496250,1,157786
10000,37496250,2,12536429440
10000,37496250,3,12536684053
10000,37496250,0,19408678826
10000,37496250,1,158855
10000,37496250,2,13774130661
10000,37496250,3,13774389300
10000,37496250,0,19432455459
10000,37496250,1,158758
10000,37496250,2,12682238665
10000,37496250,3,12682494900
10000,37496250,0,19443177702
10000,37496250,1,158446
10000,37496250,2,12542200495
10000,37496250,3,12542457266
10000,37496250,0,19435109947
10000,37496250,1,165328
10000,37496250,2,12733431699
10000,37496250,3,12733694356
10000,37496250,0,19429996374
10000,37496250,1,159110
10000,37496250,2,12603976838
10000,37496250,3,12604233894
10000,37496250,0,19411424564
10000,37496250,1,157221
10000,37496250,2,12727191686
10000,37496250,3,12727450047
10000,37496250,0,19443849947
10000,37496250,1,158350
10000,37496250,2,12679931689
10000,37496250,3,12680189805
10000,37496250,0,19397135283
10000,37496250,1,158156
10000,37496250,2,12623727670
10000,37496250,3,12623984369
10000,37496250,0,19488550043
10000,37496250,1,158076
10000,37496250,2,12685800902
10000,37496250,3,12686059248
10000,37496250,0,19441400956
10000,37496250,1,158568
10000,37496250,2,12630005793
10000,37496250,3,12630266667
10000,37496250,0,19436926351
10000,37496250,1,159030
10000,37496250,2,12583360153
10000,37496250,3,12583617254
10000,37496250,0,19460342867
10000,37496250,1,156838
10000,37496250,2,12583918658
10000,37496250,3,12584174494
10000,37496250,0,19422068610
10000,37496250,1,159831
10000,37496250,2,12603947263
10000,37496250,3,12604206001
10000,49995000,0,26051314408
10000,49995000,1,157581
10000,49995000,2,17232991463
10000,49995000,3,17233255435
10000,49995000,0,25875198864
10000,49995000,1,156898
10000,49995000,2,17533090832
10000,49995000,3,17533347090
10000,49995000,0,25853342614
10000,49995000,1,157722
10000,49995000,2,17161832798
10000,49995000,3,17162087920
10000,49995000,0,25942456081
10000,49995000,1,159119
10000,49995000,2,17208531940
10000,49995000,3,17208789979
10000,49995000,0,25921798120
10000,49995000,1,159561
10000,49995000,2,17126628992
10000,49995000,3,17126894347
10000,49995000,0,25877656706
10000,49995000,1,158109
10000,49995000,2,16965742829
10000,49995000,3,16966007932
10000,49995000,0,25840660957
10000,49995000,1,159417
10000,49995000,2,17284225622
10000,49995000,3,17284485588
10000,49995000,0,25918633998
10000,49995000,1,155214
10000,49995000,2,17125909871
10000,49995000,3,17126165659
10000,49995000,0,25862298679
10000,49995000,1,158590
10000,49995000,2,17051520144
10000,49995000,3,17051778297
10000,49995000,0,25919664758
10000,49995000,1,159441
10000,49995000,2,17018424839
10000,49995000,3,17018684773
10000,49995000,0,25968928581
10000,49995000,1,156586
10000,49995000,2,17048043512
