"v","e","s","t"
10000,24997500,2,770569917
10000,24997500,3,781580714
10000,24997500,0,95493210735
10000,24997500,1,3042943
10000,24997500,2,830574784
10000,24997500,3,838453233
10000,24997500,0,89602021314
10000,24997500,1,3180458
10000,24997500,2,811657618
10000,24997500,3,818275184
10000,24997500,0,93023271371
10000,24997500,1,3058610
10000,24997500,2,806283761
10000,24997500,3,812722799
10000,24997500,0,92792932787
10000,24997500,1,2908389
10000,24997500,2,881589360
10000,24997500,3,888431437
10000,24997500,0,91722629356
10000,24997500,1,3618802
10000,24997500,2,790372846
10000,24997500,3,799971314
10000,24997500,0,88349074124
10000,24997500,1,3210655
10000,24997500,2,796732169
10000,24997500,3,804194155
10000,24997500,0,96898483056
10000,24997500,1,3572961
10000,24997500,2,881348234
10000,24997500,3,890963131
10000,24997500,0,90336049550
10000,24997500,1,2950611
10000,24997500,2,899787598
10000,24997500,3,906544138
10000,24997500,0,88840121513
10000,24997500,1,3585618
10000,24997500,2,770492321
10000,24997500,3,779515986
10000,24997500,0,96481988769
10000,24997500,1,3784949
10000,24997500,2,853723604
10000,24997500,3,864812970
10000,24997500,0,87882190639
10000,24997500,1,2860609
10000,24997500,2,891316010
10000,24997500,3,898298632
10000,24997500,0,88910645526
10000,24997500,1,3129560
10000,24997500,2,793644292
10000,24997500,3,800695968
10000,24997500,0,92425830774
10000,24997500,1,3668578
10000,24997500,2,750133575
10000,24997500,3,759811320
10000,24997500,0,94632231771
10000,24997500,1,3011104
10000,24997500,2,768912810
10000,24997500,3,775868856
10000,24997500,0,91680409503
10000,24997500,1,3404807
10000,24997500,2,806435099
10000,24997500,3,813588682
10000,24997500,0,88746704280
10000,24997500,1,3248113
10000,24997500,2,790379255
10000,24997500,3,797489128
10000,24997500,0,98846701350
10000,24997500,1,2893020
10000,24997500,2,831280053
10000,24997500,3,837588909
10000,24997500,0,96663248605
10000,24997500,1,7542278
10000,24997500,2,770332072
10000,24997500,3,781604106
10000,24997500,0,87829251167
10000,24997500,1,2940566
10000,24997500,2,899586773
10000,24997500,3,907234660
10000,37496250,0,156517159798
10000,37496250,1,8990809
10000,37496250,2,1023546620
10000,37496250,3,1036488078
10000,37496250,0,142299866879
10000,37496250,1,3094622
10000,37496250,2,1068737159
10000,37496250,3,1075339628
10000,37496250,0,146516810327
10000,37496250,1,4452373
10000,37496250,2,988266409
10000,37496250,3,997866903
10000,37496250,0,144126177527
10000,37496250,1,2896243
10000,37496250,2,1002359008
10000,37496250,3,1008812503
10000,37496250,0,144042574097
10000,37496250,1,3488671
10000,37496250,2,953924847
10000,37496250,3,960863378
10000,37496250,0,155102999214
10000,37496250,1,2975000
10000,37496250,2,948784826
10000,37496250,3,955713877
10000,37496250,0,142534648839
10000,37496250,1,2940851
10000,37496250,2,1043196765
10000,37496250,3,1049750000
10000,37496250,0,141884574556
10000,37496250,1,3100738
10000,37496250,2,1026238656
10000,37496250,3,1032827823
10000,37496250,0,143626365959
10000,37496250,1,3560015
10000,37496250,2,954473011
10000,37496250,3,964543121
10000,37496250,0,142817183342
10000,37496250,1,3548616
10000,37496250,2,998224048
10000,37496250,3,1007135598
10000,37496250,0,155935992280
10000,37496250,1,3842010
10000,37496250,2,924581886
10000,37496250,3,932628719
10000,37496250,0,161461901081
10000,37496250,1,2905243
10000,37496250,2,1014873797
10000,37496250,3,1022229875
10000,37496250,0,148376007164
10000,37496250,1,3139674
10000,37496250,2,1076858564
10000,37496250,3,1083442357
10000,37496250,0,143738677471
10000,37496250,1,3644848
10000,37496250,2,988660074
10000,37496250,3,997825035
10000,37496250,0,150057116698
10000,37496250,1,3562227
10000,37496250,2,1004382219
10000,37496250,3,1014202780
10000,37496250,0,144296887506
10000,37496250,1,3585796
10000,37496250,2,965740140
10000,37496250,3,974058546
10000,37496250,0,150290120476
10000,37496250,1,3800549
10000,37496250,2,1006262963
10000,37496250,3,1016834639
10000,37496250,0,143072467981
10000,37496250,1,3650843
10000,37496250,2,936230735
10000,37496250,3,947613357
10000,37496250,0,142284668396
10000,37496250,1,3443659
10000,37496250,2,1022772845
10000,37496250,3,1029645618
10000,37496250,0,141825901922
10000,37496250,1,3614770
10000,37496250,2,1096688028
10000,37496250,3,1105244610
10000,37496250,0,144370615040
10000,37496250,1,3195202
10000,37496250,2,995498618
10000,37496250,3,1003550242
10000,37496250,0,148208915428
10000,37496250,1,3645340
10000,37496250,2,985859067
10000,37496250,3,993071868
10000,37496250,0,146735315800
10000,37496250,1,5808848
10000,37496250,2,1013749475
10000,37496250,3,1026964924
10000,37496250,0,152989729633
10000,37496250,1,2894423
10000,37496250,2,1002103596
10000,37496250,3,1008896903
10000,37496250,0,141805990210
10000,37496250,1,3681935
10000,37496250,2,975667569
10000,37496250,3,982921752
10000,37496250,0,140896459469
10000,37496250,1,2910567
10000,37496250,2,1050442821
10000,37496250,3,1056792246
10000,37496250,0,150356625955
10000,37496250,1,2889999
10000,37496250,2,950087508
10000,37496250,3,956843631
10000,37496250,0,149477348869
10000,37496250,1,3235528
10000,37496250,2,995978584
10000,37496250,3,1002807925
10000,37496250,0,143237748564
10000,37496250,1,3607181
10000,37496250,2,957975728
10000,37496250,3,969419855
10000,37496250,0,142263712492
10000,37496250,1,3504849
10000,37496250,2,1075328972
10000,37496250,3,1083402781
10000,37496250,0,145112624356
10000,37496250,1,3460582
10000,37496250,2,1031050096
10000,37496250,3,1038112923
10000,37496250,0,141060735941
10000,37496250,1,3743821
10000,37496250,2,950838201
10000,37496250,3,960576044
10000,37496250,0,161936533477
10000,37496250,1,2890216
10000,37496250,2,977860948
10000,37496250,3,984415181
10000,37496250,0,155263323442
10000,37496250,1,2923297
10000,37496250,2,954826491
10000,37496250,3,962035617
10000,37496250,0,149014526239
10000,37496250,1,2884485
10000,37496250,2,1040747953
10000,37496250,3,1047259324
10000,37496250,0,140794926354
10000,37496250,1,3977883
10000,37496250,2,1054156235
10000,37496250,3,1062235746
10000,37496250,0,143152396920
10000,37496250,1,2934131
10000,37496250,2,1048118154
10000,37496250,3,1055102531
10000,37496250,0,142560915055
